,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,State Holiday,Datetime
160,45 F,37 F,76 %,NW,12 mph,0 mph,30.2 in,0,2017-01-04 08:00:00
161,45 F,36 F,71 %,NNW,12 mph,0 mph,30.2 in,0,2017-01-04 08:30:00
162,45 F,37 F,76 %,NNW,12 mph,23 mph,30.2 in,0,2017-01-04 09:00:00
163,46 F,37 F,71 %,NW,14 mph,0 mph,30.2 in,0,2017-01-04 09:30:00
164,46 F,37 F,71 %,NNW,14 mph,0 mph,30.2 in,0,2017-01-04 10:00:00
165,48 F,39 F,71 %,NNW,12 mph,23 mph,30.2 in,0,2017-01-04 10:30:00
166,50 F,39 F,66 %,NNW,10 mph,0 mph,30.2 in,0,2017-01-04 11:00:00
167,50 F,39 F,66 %,NNW,10 mph,0 mph,30.2 in,0,2017-01-04 11:30:00
168,52 F,39 F,62 %,NNW,10 mph,0 mph,30.2 in,0,2017-01-04 12:00:00
169,54 F,39 F,58 %,NW,7 mph,0 mph,30.2 in,0,2017-01-04 12:00:00
170,54 F,41 F,62 %,NW,7 mph,0 mph,30.2 in,0,2017-01-04 13:00:00
171,55 F,43 F,63 %,VAR,2 mph,0 mph,30.2 in,0,2017-01-04 13:00:00
172,55 F,45 F,67 %,SW,5 mph,0 mph,30.1 in,0,2017-01-04 14:00:00
173,55 F,45 F,67 %,SW,7 mph,0 mph,30.1 in,0,2017-01-04 14:00:00
174,55 F,45 F,67 %,SSW,8 mph,0 mph,30.1 in,0,2017-01-04 15:00:00
175,55 F,45 F,67 %,SW,10 mph,0 mph,30.1 in,0,2017-01-04 15:00:00
176,55 F,45 F,67 %,SW,12 mph,0 mph,30.1 in,0,2017-01-04 16:00:00
177,55 F,41 F,58 %,SW,8 mph,0 mph,30.1 in,0,2017-01-04 16:00:00
178,55 F,41 F,58 %,NW,3 mph,0 mph,30.1 in,0,2017-01-04 17:00:00
179,52 F,37 F,58 %,W,8 mph,0 mph,30.1 in,0,2017-01-04 17:00:00
180,50 F,37 F,62 %,W,7 mph,0 mph,30.1 in,0,2017-01-04 18:00:00
181,50 F,37 F,62 %,NW,7 mph,0 mph,30.1 in,0,2017-01-04 18:00:00
182,48 F,36 F,62 %,NW,10 mph,0 mph,30.1 in,0,2017-01-04 19:00:00
183,46 F,36 F,66 %,NNW,12 mph,0 mph,30.1 in,0,2017-01-04 20:00:00
184,46 F,34 F,62 %,NNW,12 mph,29 mph,30.1 in,0,2017-01-04 20:00:00
185,46 F,34 F,62 %,NNW,13 mph,0 mph,30.1 in,0,2017-01-04 21:00:00
186,46 F,34 F,62 %,NNW,13 mph,0 mph,30.1 in,0,2017-01-04 21:00:00
187,45 F,34 F,66 %,NNW,10 mph,0 mph,30.1 in,0,2017-01-04 22:00:00
188,45 F,34 F,66 %,NNW,14 mph,0 mph,30.1 in,0,2017-01-04 22:00:00
189,45 F,32 F,61 %,NNW,15 mph,0 mph,30.1 in,0,2017-01-04 23:00:00
190,43 F,32 F,66 %,NNW,13 mph,0 mph,30.1 in,0,2017-01-04 23:00:00
191,43 F,32 F,66 %,NW,10 mph,0 mph,30.1 in,0,2017-01-05 00:00:00
192,43 F,32 F,66 %,NNW,12 mph,0 mph,30.1 in,0,2017-01-05 00:00:00
193,43 F,32 F,66 %,NW,13 mph,0 mph,30.1 in,0,2017-01-05 01:00:00
194,43 F,34 F,70 %,NW,10 mph,0 mph,30.1 in,0,2017-01-05 01:30:00
195,43 F,32 F,66 %,NNW,13 mph,0 mph,30.1 in,0,2017-01-05 02:00:00
196,43 F,32 F,66 %,NNW,15 mph,0 mph,30.1 in,0,2017-01-05 02:30:00
197,43 F,32 F,66 %,NNW,14 mph,0 mph,30.1 in,0,2017-01-05 03:00:00
198,41 F,32 F,70 %,NW,16 mph,0 mph,30.1 in,0,2017-01-05 03:30:00
199,41 F,32 F,70 %,NNW,12 mph,0 mph,30.1 in,0,2017-01-05 04:00:00
200,41 F,32 F,70 %,NW,15 mph,0 mph,30.1 in,0,2017-01-05 04:30:00
201,41 F,32 F,70 %,NW,15 mph,0 mph,30.1 in,0,2017-01-05 05:00:00
202,39 F,32 F,75 %,NW,14 mph,0 mph,30.1 in,0,2017-01-05 05:30:00
203,39 F,32 F,75 %,NW,15 mph,0 mph,30.1 in,0,2017-01-05 06:00:00
204,41 F,32 F,70 %,NNW,14 mph,0 mph,30.1 in,0,2017-01-05 06:30:00
205,41 F,30 F,65 %,NW,13 mph,0 mph,30.1 in,0,2017-01-05 07:00:00
206,41 F,30 F,65 %,NNW,12 mph,0 mph,30.1 in,0,2017-01-05 07:30:00
207,41 F,30 F,65 %,NW,14 mph,0 mph,30.1 in,0,2017-01-05 08:00:00
208,39 F,30 F,70 %,NNW,14 mph,0 mph,30.1 in,0,2017-01-05 08:30:00
209,41 F,30 F,65 %,NW,14 mph,0 mph,30.2 in,0,2017-01-05 09:00:00
210,41 F,30 F,65 %,NW,16 mph,0 mph,30.2 in,0,2017-01-05 09:30:00
211,41 F,30 F,65 %,NNW,16 mph,0 mph,30.2 in,0,2017-01-05 10:00:00
212,43 F,30 F,61 %,NNW,15 mph,0 mph,30.2 in,0,2017-01-05 10:30:00
213,45 F,32 F,61 %,NW,14 mph,0 mph,30.2 in,0,2017-01-05 11:00:00
214,46 F,32 F,57 %,NNW,13 mph,0 mph,30.2 in,0,2017-01-05 11:30:00
215,46 F,32 F,57 %,NNW,12 mph,0 mph,30.2 in,0,2017-01-05 12:00:00
216,50 F,34 F,54 %,NW,9 mph,24 mph,30.2 in,0,2017-01-05 12:00:00
217,52 F,34 F,50 %,NNW,7 mph,0 mph,30.2 in,0,2017-01-05 13:00:00
218,54 F,36 F,51 %,VAR,1 mph,0 mph,30.2 in,0,2017-01-05 13:00:00
219,54 F,37 F,54 %,ESE,6 mph,0 mph,30.2 in,0,2017-01-05 14:00:00
