,Datetime,Weekday,Part of the day,counts,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,State Holiday
1465,2017-04-14 07:00:00,Friday,Morning,1,55 F,52 F,88 %,WNW,8 mph,0 mph,29.9 in,1.0
1466,2017-04-14 11:00:00,Friday,Morning,2,66 F,52 F,60 %,ESE,6 mph,0 mph,30.0 in,1.0
1467,2017-04-14 12:00:00,Friday,Morning,1,64 F,54 F,68 %,ESE,8 mph,0 mph,30.0 in,1.0
1468,2017-04-14 13:00:00,Friday,Morning,2,64 F,54 F,68 %,S,6 mph,0 mph,30.0 in,1.0
1469,2017-04-14 14:00:00,Friday,Afternoon,1,64 F,59 F,83 %,S,8 mph,0 mph,30.0 in,1.0
1470,2017-04-14 15:00:00,Friday,Afternoon,2,66 F,55 F,68 %,S,5 mph,0 mph,30.0 in,1.0
1471,2017-04-14 16:00:00,Friday,Afternoon,2,68 F,52 F,56 %,SSE,5 mph,0 mph,30.0 in,1.0
1472,2017-04-14 17:00:00,Friday,Afternoon,1,68 F,54 F,60 %,VAR,2 mph,0 mph,30.0 in,1.0
1473,2017-04-14 19:00:00,Friday,Afternoon,1,66 F,54 F,64 %,E,5 mph,0 mph,30.0 in,1.0
1474,2017-04-14 20:00:00,Friday,Afternoon,1,68 F,48 F,49 %,VAR,2 mph,0 mph,30.0 in,1.0
1475,2017-04-14 21:00:00,Friday,Afternoon,3,66 F,48 F,52 %,N,3 mph,0 mph,30.0 in,1.0
1476,2017-04-14 22:00:00,Friday,Night,1,66 F,48 F,52 %,CALM,0 mph,0 mph,30.0 in,1.0
1477,2017-04-14 23:00:00,Friday,Night,1,63 F,48 F,59 %,NW,5 mph,0 mph,30.0 in,1.0
1478,2017-04-15 00:00:00,Saturday,Night,1,63 F,48 F,59 %,NW,3 mph,0 mph,30.0 in,0.0
1479,2017-04-15 01:00:00,Saturday,Night,1,63 F,50 F,63 %,NW,5 mph,0 mph,30.0 in,0.0
1480,2017-04-15 03:00:00,Saturday,Night,1,61 F,48 F,63 %,NNW,6 mph,0 mph,30.0 in,0.0
1481,2017-04-15 04:00:00,Saturday,Night,1,59 F,48 F,67 %,NW,6 mph,0 mph,30.0 in,0.0
1482,2017-04-15 05:00:00,Saturday,Night,1,59 F,48 F,67 %,NW,3 mph,0 mph,30.0 in,0.0
1483,2017-04-15 06:00:00,Saturday,Morning,1,59 F,48 F,67 %,NNW,13 mph,0 mph,30.0 in,0.0
1484,2017-04-15 10:00:00,Saturday,Morning,1,64 F,52 F,64 %,ENE,7 mph,0 mph,30.1 in,0.0
1485,2017-04-15 11:00:00,Saturday,Morning,2,64 F,55 F,73 %,E,9 mph,0 mph,30.1 in,0.0
1486,2017-04-15 13:00:00,Saturday,Morning,3,64 F,55 F,73 %,ESE,8 mph,0 mph,30.1 in,0.0
1487,2017-04-15 14:00:00,Saturday,Afternoon,1,63 F,54 F,72 %,SE,10 mph,0 mph,30.1 in,0.0
1488,2017-04-15 15:00:00,Saturday,Afternoon,1,63 F,55 F,77 %,SSE,12 mph,0 mph,30.0 in,0.0
1489,2017-04-15 18:00:00,Saturday,Afternoon,1,63 F,55 F,77 %,SE,7 mph,0 mph,30.0 in,0.0
1490,2017-04-15 19:00:00,Saturday,Afternoon,2,63 F,55 F,77 %,SE,6 mph,0 mph,30.0 in,0.0
1491,2017-04-15 21:00:00,Saturday,Afternoon,2,61 F,55 F,82 %,VAR,1 mph,0 mph,30.1 in,0.0
1492,2017-04-16 04:00:00,Sunday,Night,1,57 F,54 F,88 %,WSW,7 mph,0 mph,30.1 in,1.0
1493,2017-04-16 08:00:00,Sunday,Morning,1,54 F,48 F,82 %,NW,8 mph,0 mph,30.2 in,1.0
1494,2017-04-16 11:00:00,Sunday,Morning,1,64 F,48 F,56 %,N,9 mph,0 mph,30.2 in,1.0
1495,2017-04-16 13:00:00,Sunday,Morning,2,64 F,50 F,59 %,SSW,10 mph,0 mph,30.2 in,1.0
1496,2017-04-16 17:00:00,Sunday,Afternoon,2,64 F,54 F,68 %,SSW,17 mph,0 mph,30.1 in,1.0
1497,2017-04-17 11:00:00,Monday,Morning,1,63 F,54 F,72 %,WNW,1 mph,0 mph,30.1 in,1.0
1498,2017-04-17 12:00:00,Monday,Morning,1,64 F,54 F,68 %,ESE,6 mph,0 mph,30.1 in,1.0
1499,2017-04-17 13:00:00,Monday,Morning,1,64 F,55 F,73 %,SE,7 mph,0 mph,30.1 in,1.0
1500,2017-04-17 14:00:00,Monday,Afternoon,2,64 F,55 F,73 %,S,9 mph,0 mph,30.1 in,1.0
1501,2017-04-17 17:00:00,Monday,Afternoon,1,66 F,57 F,73 %,SSW,14 mph,0 mph,30.0 in,1.0
1502,2017-04-17 18:00:00,Monday,Afternoon,3,66 F,57 F,73 %,SSW,14 mph,0 mph,30.0 in,1.0
1503,2017-04-17 19:00:00,Monday,Afternoon,1,64 F,57 F,77 %,SW,15 mph,0 mph,30.0 in,1.0
