,Datetime,Weekday,Part of the day
319,2017-01-24 19:00:00,Tuesday,Afternoon
320,2017-01-24 21:00:00,Tuesday,Afternoon
321,2017-01-25 05:00:00,Wednesday,Night
322,2017-01-25 06:00:00,Wednesday,Morning
323,2017-01-25 08:00:00,Wednesday,Morning
324,2017-01-25 09:00:00,Wednesday,Morning
325,2017-01-25 10:00:00,Wednesday,Morning
326,2017-01-25 11:00:00,Wednesday,Morning
327,2017-01-25 12:00:00,Wednesday,Morning
328,2017-01-25 13:00:00,Wednesday,Morning
329,2017-01-25 14:00:00,Wednesday,Afternoon
330,2017-01-25 15:00:00,Wednesday,Afternoon
331,2017-01-25 19:00:00,Wednesday,Afternoon
332,2017-01-25 20:00:00,Wednesday,Afternoon
333,2017-01-25 21:00:00,Wednesday,Afternoon
334,2017-01-25 22:00:00,Wednesday,Night
335,2017-01-25 23:00:00,Wednesday,Night
336,2017-01-26 06:00:00,Thursday,Morning
337,2017-01-26 07:00:00,Thursday,Morning
338,2017-01-26 08:00:00,Thursday,Morning
339,2017-01-26 09:00:00,Thursday,Morning
340,2017-01-26 10:00:00,Thursday,Morning
341,2017-01-26 11:00:00,Thursday,Morning
342,2017-01-26 12:00:00,Thursday,Morning
343,2017-01-26 13:00:00,Thursday,Morning
344,2017-01-26 14:00:00,Thursday,Afternoon
345,2017-01-26 16:00:00,Thursday,Afternoon
346,2017-01-26 19:00:00,Thursday,Afternoon
347,2017-01-26 20:00:00,Thursday,Afternoon
348,2017-01-26 23:00:00,Thursday,Night
349,2017-01-27 00:00:00,Friday,Night
350,2017-01-27 01:00:00,Friday,Night
351,2017-01-27 06:00:00,Friday,Morning
352,2017-01-27 07:00:00,Friday,Morning
353,2017-01-27 08:00:00,Friday,Morning
354,2017-01-27 10:00:00,Friday,Morning
355,2017-01-27 11:00:00,Friday,Morning
356,2017-01-27 12:00:00,Friday,Morning
357,2017-01-27 13:00:00,Friday,Morning
358,2017-01-27 14:00:00,Friday,Afternoon
359,2017-01-27 15:00:00,Friday,Afternoon
360,2017-01-27 17:00:00,Friday,Afternoon
361,2017-01-27 19:00:00,Friday,Afternoon
362,2017-01-27 20:00:00,Friday,Afternoon
363,2017-01-27 21:00:00,Friday,Afternoon
364,2017-01-28 02:00:00,Saturday,Night
365,2017-01-28 04:00:00,Saturday,Night
366,2017-01-28 05:00:00,Saturday,Night
367,2017-01-28 06:00:00,Saturday,Morning
368,2017-01-28 08:00:00,Saturday,Morning
369,2017-01-28 09:00:00,Saturday,Morning
370,2017-01-28 10:00:00,Saturday,Morning
371,2017-01-28 12:00:00,Saturday,Morning
372,2017-01-28 13:00:00,Saturday,Morning
373,2017-01-28 14:00:00,Saturday,Afternoon
374,2017-01-28 15:00:00,Saturday,Afternoon
375,2017-01-28 17:00:00,Saturday,Afternoon
376,2017-01-28 18:00:00,Saturday,Afternoon
377,2017-01-28 19:00:00,Saturday,Afternoon
378,2017-01-28 23:00:00,Saturday,Night
379,2017-01-29 03:00:00,Sunday,Night
380,2017-01-29 10:00:00,Sunday,Morning
381,2017-01-29 12:00:00,Sunday,Morning
382,2017-01-29 13:00:00,Sunday,Morning
383,2017-01-29 14:00:00,Sunday,Afternoon
384,2017-01-29 15:00:00,Sunday,Afternoon
385,2017-01-29 16:00:00,Sunday,Afternoon
386,2017-01-29 17:00:00,Sunday,Afternoon
387,2017-01-29 18:00:00,Sunday,Afternoon
388,2017-01-29 19:00:00,Sunday,Afternoon
389,2017-01-29 20:00:00,Sunday,Afternoon
390,2017-01-29 21:00:00,Sunday,Afternoon
391,2017-01-29 22:00:00,Sunday,Night
392,2017-01-30 03:00:00,Monday,Night
393,2017-01-30 08:00:00,Monday,Morning
394,2017-01-30 09:00:00,Monday,Morning
395,2017-01-30 10:00:00,Monday,Morning
396,2017-01-30 11:00:00,Monday,Morning
397,2017-01-30 13:00:00,Monday,Morning
398,2017-01-30 14:00:00,Monday,Afternoon
399,2017-01-30 15:00:00,Monday,Afternoon
400,2017-01-30 16:00:00,Monday,Afternoon
401,2017-01-30 17:00:00,Monday,Afternoon
402,2017-01-30 18:00:00,Monday,Afternoon
403,2017-01-30 19:00:00,Monday,Afternoon
404,2017-01-30 20:00:00,Monday,Afternoon
405,2017-01-30 21:00:00,Monday,Afternoon
406,2017-01-30 23:00:00,Monday,Night
407,2017-01-31 00:00:00,Tuesday,Night
408,2017-01-31 06:00:00,Tuesday,Morning
409,2017-01-31 08:00:00,Tuesday,Morning
410,2017-01-31 09:00:00,Tuesday,Morning
411,2017-01-31 10:00:00,Tuesday,Morning
412,2017-01-31 11:00:00,Tuesday,Morning
413,2017-01-31 12:00:00,Tuesday,Morning
414,2017-01-31 13:00:00,Tuesday,Morning
415,2017-01-31 14:00:00,Tuesday,Afternoon
416,2017-01-31 16:00:00,Tuesday,Afternoon
417,2017-01-31 17:00:00,Tuesday,Afternoon
418,2017-01-31 18:00:00,Tuesday,Afternoon
419,2017-01-31 19:00:00,Tuesday,Afternoon
420,2017-01-31 21:00:00,Tuesday,Afternoon
421,2017-02-01 07:00:00,Wednesday,Morning
422,2017-02-01 08:00:00,Wednesday,Morning
423,2017-02-01 09:00:00,Wednesday,Morning
424,2017-02-01 10:00:00,Wednesday,Morning
425,2017-02-01 11:00:00,Wednesday,Morning
426,2017-02-01 12:00:00,Wednesday,Morning
427,2017-02-01 13:00:00,Wednesday,Morning
428,2017-02-01 14:00:00,Wednesday,Afternoon
429,2017-02-01 15:00:00,Wednesday,Afternoon
430,2017-02-01 17:00:00,Wednesday,Afternoon
431,2017-02-01 18:00:00,Wednesday,Afternoon
432,2017-02-01 19:00:00,Wednesday,Afternoon
433,2017-02-01 20:00:00,Wednesday,Afternoon
434,2017-02-01 21:00:00,Wednesday,Afternoon
435,2017-02-01 22:00:00,Wednesday,Night
436,2017-02-01 23:00:00,Wednesday,Night
437,2017-02-02 00:00:00,Thursday,Night
438,2017-02-02 03:00:00,Thursday,Night
439,2017-02-02 06:00:00,Thursday,Morning
440,2017-02-02 08:00:00,Thursday,Morning
441,2017-02-02 09:00:00,Thursday,Morning
442,2017-02-02 10:00:00,Thursday,Morning
443,2017-02-02 12:00:00,Thursday,Morning
444,2017-02-02 13:00:00,Thursday,Morning
445,2017-02-02 14:00:00,Thursday,Afternoon
446,2017-02-02 15:00:00,Thursday,Afternoon
447,2017-02-02 16:00:00,Thursday,Afternoon
448,2017-02-02 17:00:00,Thursday,Afternoon
449,2017-02-02 18:00:00,Thursday,Afternoon
450,2017-02-02 19:00:00,Thursday,Afternoon
451,2017-02-02 20:00:00,Thursday,Afternoon
452,2017-02-03 04:00:00,Friday,Night
453,2017-02-03 07:00:00,Friday,Morning
454,2017-02-03 08:00:00,Friday,Morning
455,2017-02-03 09:00:00,Friday,Morning
456,2017-02-03 11:00:00,Friday,Morning
457,2017-02-03 12:00:00,Friday,Morning
458,2017-02-03 13:00:00,Friday,Morning
459,2017-02-03 14:00:00,Friday,Afternoon
460,2017-02-03 15:00:00,Friday,Afternoon
461,2017-02-03 16:00:00,Friday,Afternoon
462,2017-02-03 17:00:00,Friday,Afternoon
463,2017-02-03 18:00:00,Friday,Afternoon
464,2017-02-03 20:00:00,Friday,Afternoon
465,2017-02-03 21:00:00,Friday,Afternoon
466,2017-02-03 22:00:00,Friday,Night
467,2017-02-04 01:00:00,Saturday,Night
468,2017-02-04 09:00:00,Saturday,Morning
469,2017-02-04 11:00:00,Saturday,Morning
470,2017-02-04 12:00:00,Saturday,Morning
471,2017-02-04 13:00:00,Saturday,Morning
472,2017-02-04 14:00:00,Saturday,Afternoon
473,2017-02-04 16:00:00,Saturday,Afternoon
474,2017-02-04 18:00:00,Saturday,Afternoon
475,2017-02-04 19:00:00,Saturday,Afternoon
476,2017-02-04 20:00:00,Saturday,Afternoon
477,2017-02-04 22:00:00,Saturday,Night
478,2017-02-05 00:00:00,Sunday,Night
479,2017-02-05 02:00:00,Sunday,Night
480,2017-02-05 03:00:00,Sunday,Night
481,2017-02-05 06:00:00,Sunday,Morning
482,2017-02-05 11:00:00,Sunday,Morning
483,2017-02-05 12:00:00,Sunday,Morning
484,2017-02-05 13:00:00,Sunday,Morning
485,2017-02-05 14:00:00,Sunday,Afternoon
486,2017-02-05 16:00:00,Sunday,Afternoon
487,2017-02-05 17:00:00,Sunday,Afternoon
488,2017-02-05 21:00:00,Sunday,Afternoon
489,2017-02-05 22:00:00,Sunday,Night
490,2017-02-06 07:00:00,Monday,Morning
491,2017-02-06 08:00:00,Monday,Morning
492,2017-02-06 09:00:00,Monday,Morning
493,2017-02-06 10:00:00,Monday,Morning
494,2017-02-06 12:00:00,Monday,Morning
495,2017-02-06 13:00:00,Monday,Morning
496,2017-02-06 14:00:00,Monday,Afternoon
497,2017-02-06 15:00:00,Monday,Afternoon
498,2017-02-06 16:00:00,Monday,Afternoon
499,2017-02-06 18:00:00,Monday,Afternoon
500,2017-02-06 19:00:00,Monday,Afternoon
501,2017-02-06 20:00:00,Monday,Afternoon
502,2017-02-07 00:00:00,Tuesday,Night
503,2017-02-07 05:00:00,Tuesday,Night
504,2017-02-07 08:00:00,Tuesday,Morning
505,2017-02-07 10:00:00,Tuesday,Morning
506,2017-02-07 11:00:00,Tuesday,Morning
507,2017-02-07 12:00:00,Tuesday,Morning
508,2017-02-07 13:00:00,Tuesday,Morning
509,2017-02-07 14:00:00,Tuesday,Afternoon
510,2017-02-07 15:00:00,Tuesday,Afternoon
511,2017-02-07 16:00:00,Tuesday,Afternoon
512,2017-02-07 17:00:00,Tuesday,Afternoon
513,2017-02-07 18:00:00,Tuesday,Afternoon
514,2017-02-07 19:00:00,Tuesday,Afternoon
515,2017-02-07 20:00:00,Tuesday,Afternoon
516,2017-02-07 22:00:00,Tuesday,Night
517,2017-02-08 08:00:00,Wednesday,Morning
518,2017-02-08 09:00:00,Wednesday,Morning
519,2017-02-08 11:00:00,Wednesday,Morning
520,2017-02-08 12:00:00,Wednesday,Morning
521,2017-02-08 13:00:00,Wednesday,Morning
522,2017-02-08 14:00:00,Wednesday,Afternoon
523,2017-02-08 15:00:00,Wednesday,Afternoon
524,2017-02-08 16:00:00,Wednesday,Afternoon
525,2017-02-08 17:00:00,Wednesday,Afternoon
526,2017-02-08 18:00:00,Wednesday,Afternoon
527,2017-02-08 19:00:00,Wednesday,Afternoon
528,2017-02-08 20:00:00,Wednesday,Afternoon
529,2017-02-08 21:00:00,Wednesday,Afternoon
530,2017-02-08 22:00:00,Wednesday,Night
531,2017-02-09 02:00:00,Thursday,Night
532,2017-02-09 04:00:00,Thursday,Night
533,2017-02-09 05:00:00,Thursday,Night
534,2017-02-09 08:00:00,Thursday,Morning
535,2017-02-09 09:00:00,Thursday,Morning
536,2017-02-09 10:00:00,Thursday,Morning
537,2017-02-09 12:00:00,Thursday,Morning
