,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Date,State Holiday
91,21:00:00,46 F,36 F,66 %,NW,13 mph,0 mph,30.1 in,1-2,0
92,22:00:00,46 F,36 F,66 %,NNW,12 mph,23 mph,30.1 in,1-2,0
93,22:00:00,46 F,36 F,66 %,NNW,12 mph,0 mph,30.1 in,1-2,0
94,23:00:00,45 F,34 F,66 %,NNW,13 mph,0 mph,30.1 in,1-2,0
95,23:00:00,45 F,34 F,66 %,NNW,14 mph,0 mph,30.1 in,1-2,0
96,00:00:00,45 F,34 F,66 %,NNW,14 mph,0 mph,30.1 in,1-3,0
97,12:30:00,43 F,32 F,66 %,NNW,15 mph,0 mph,30.1 in,1-3,0
98,1:00:00,43 F,32 F,66 %,NNW,14 mph,0 mph,30.1 in,1-3,0
99,1:30:00,41 F,32 F,70 %,NW,17 mph,0 mph,30.1 in,1-3,0
100,2:00:00,41 F,32 F,70 %,NW,16 mph,0 mph,30.1 in,1-3,0
101,2:30:00,41 F,32 F,70 %,NNW,16 mph,0 mph,30.1 in,1-3,0
102,3:00:00,41 F,32 F,70 %,NW,15 mph,0 mph,30.1 in,1-3,0
103,3:30:00,39 F,32 F,75 %,NNW,16 mph,0 mph,30.1 in,1-3,0
104,4:00:00,39 F,32 F,75 %,NW,15 mph,0 mph,30.1 in,1-3,0
105,4:30:00,39 F,32 F,75 %,NNW,16 mph,0 mph,30.1 in,1-3,0
106,5:00:00,39 F,30 F,70 %,NW,17 mph,0 mph,30.1 in,1-3,0
107,5:30:00,39 F,30 F,70 %,NNW,17 mph,0 mph,30.1 in,1-3,0
108,6:00:00,39 F,30 F,70 %,NNW,15 mph,0 mph,30.1 in,1-3,0
109,6:30:00,39 F,30 F,70 %,NW,16 mph,0 mph,30.1 in,1-3,0
110,7:00:00,39 F,30 F,70 %,NW,15 mph,0 mph,30.2 in,1-3,0
111,7:30:00,39 F,30 F,70 %,NNW,16 mph,0 mph,30.2 in,1-3,0
112,8:00:00,39 F,30 F,70 %,NNW,16 mph,0 mph,30.2 in,1-3,0
113,8:30:00,39 F,30 F,70 %,NNW,16 mph,0 mph,30.2 in,1-3,0
114,9:00:00,39 F,32 F,75 %,NNW,16 mph,0 mph,30.2 in,1-3,0
115,9:30:00,39 F,32 F,75 %,NNW,16 mph,0 mph,30.2 in,1-3,0
116,10:00:00,41 F,32 F,70 %,NNW,17 mph,0 mph,30.2 in,1-3,0
117,10:30:00,43 F,32 F,66 %,NNW,16 mph,0 mph,30.2 in,1-3,0
118,11:00:00,45 F,34 F,66 %,NW,17 mph,0 mph,30.2 in,1-3,0
119,11:30:00,45 F,34 F,66 %,NNW,17 mph,0 mph,30.2 in,1-3,0
