,Datetime,Id,District Name,Weekday,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude,Datetime.1
9114,2017-01-05 06:00:00,2017S000097    ,Sant Martí,Thursday,Morning,2,0,2,2,2.199257,41.421357,2017-01-05 06:00:00
1164,2017-01-05 07:00:00,2017S000104    ,Nou Barris,Thursday,Morning,1,0,2,1,2.181706,41.428661,2017-01-05 07:00:00
5906,2017-01-05 08:00:00,2017S000103    ,Les Corts,Thursday,Morning,1,0,1,2,2.138895,41.389044,2017-01-05 08:00:00
703,2017-01-05 09:00:00,2017S000106    ,Sants-Montjuïc,Thursday,Morning,2,0,2,3,2.139892,41.35851,2017-01-05 09:00:00
6733,2017-01-05 10:00:00,2017S000107    ,Eixample,Thursday,Morning,1,0,1,2,2.161465,41.397016,2017-01-05 10:00:00
6028,2017-01-05 11:00:00,2017S000109    ,Sarrià-Sant Gervasi,Thursday,Morning,1,0,1,2,2.144741,41.392217,2017-01-05 11:00:00
1682,2017-01-05 12:00:00,2017S000110    ,Eixample,Thursday,Morning,1,0,1,1,2.1675020000000003,41.400966,2017-01-05 12:00:00
7453,2017-01-05 13:00:00,2017S000113    ,Gràcia,Thursday,Morning,1,0,1,2,2.15883,41.404508,2017-01-05 13:00:00
6209,2017-01-05 14:00:00,2017S000116    ,Horta-Guinardó,Thursday,Afternoon,2,0,2,3,2.144012,41.428075,2017-01-05 14:00:00
329,2017-01-05 15:00:00,2017S000114    ,Eixample,Thursday,Afternoon,1,0,1,2,2.164884,41.39216500000001,2017-01-05 15:00:00
1166,2017-01-05 16:00:00,2017S000118    ,Nou Barris,Thursday,Afternoon,0,1,1,3,2.177028,41.427383,2017-01-05 16:00:00
72,2017-01-05 17:00:00,2017S000123    ,Sant Martí,Thursday,Afternoon,2,0,2,2,2.20173,41.42748,2017-01-05 17:00:00
1369,2017-01-05 18:00:00,2017S000121    ,Sant Martí,Thursday,Afternoon,1,0,1,2,2.187949,41.393957,2017-01-05 18:00:00
91,2017-01-05 19:00:00,2017S000122    ,Sant Martí,Thursday,Afternoon,0,0,0,1,2.208398,41.419569,2017-01-05 19:00:00
3669,2017-01-05 22:00:00,2017S000125    ,Nou Barris,Thursday,Night,0,0,0,1,2.161837,41.440123,2017-01-05 22:00:00
3946,2017-01-05 23:00:00,2017S000127    ,Sant Martí,Thursday,Night,2,0,2,2,2.190367,41.404181,2017-01-05 23:00:00
8129,2017-01-06 00:00:00,2017S000129    ,Eixample,Friday,Night,1,0,1,2,2.160726,41.387335,2017-01-06 00:00:00
7204,2017-01-06 06:00:00,2017S000130    ,Les Corts,Friday,Morning,1,0,1,2,2.131757,41.392313,2017-01-06 06:00:00
718,2017-01-06 10:00:00,2017S000131    ,Sants-Montjuïc,Friday,Morning,1,0,1,2,2.148113,41.374967,2017-01-06 10:00:00
559,2017-01-06 12:00:00,2017S000133    ,Eixample,Friday,Morning,1,0,1,2,2.1682740000000003,41.389418,2017-01-06 12:00:00
4099,2017-01-06 15:00:00,2017S000134    ,Eixample,Friday,Afternoon,1,0,1,2,2.155159,41.379583,2017-01-06 15:00:00
366,2017-01-06 20:00:00,2017S000136    ,Eixample,Friday,Afternoon,2,0,2,2,2.15998,41.393601,2017-01-06 20:00:00
54,2017-01-06 22:00:00,2017S000137    ,Sant Martí,Friday,Night,1,0,1,2,2.1884,41.410069,2017-01-06 22:00:00
3983,2017-01-06 23:00:00,2017S000139    ,Sant Martí,Friday,Night,2,0,2,7,2.200096,41.389776,2017-01-06 23:00:00
8957,2017-01-07 00:00:00,2017S000140    ,Nou Barris,Saturday,Night,3,0,3,2,2.168407,41.430591,2017-01-07 00:00:00
5652,2017-01-07 01:00:00,2017S000142    ,Eixample,Saturday,Night,0,1,1,1,2.173408,41.389688,2017-01-07 01:00:00
526,2017-01-07 04:00:00,2017S000143    ,Eixample,Saturday,Night,1,0,1,2,2.174613,41.395194,2017-01-07 04:00:00
6400,2017-01-07 08:00:00,2017S000146    ,Sant Andreu,Saturday,Morning,1,0,1,2,2.193426,41.447055,2017-01-07 08:00:00
864,2017-01-07 09:00:00,2017S000147    ,Sarrià-Sant Gervasi,Saturday,Morning,1,2,3,13,2.149334,41.395939,2017-01-07 09:00:00
9846,2017-01-07 10:00:00,2017S000148    ,Les Corts,Saturday,Morning,4,0,4,2,2.136291,41.387507,2017-01-07 10:00:00
2232,2017-01-07 12:00:00,2017S000150    ,Gràcia,Saturday,Morning,1,0,1,2,2.155702,41.409958,2017-01-07 12:00:00
3856,2017-01-07 13:00:00,2017S000154    ,Sant Martí,Saturday,Morning,1,0,1,1,2.202182,41.419901,2017-01-07 13:00:00
5871,2017-01-07 14:00:00,2017S000153    ,Les Corts,Saturday,Afternoon,1,0,1,2,2.136492,41.381902,2017-01-07 14:00:00
539,2017-01-07 17:00:00,2017S000157    ,Eixample,Saturday,Afternoon,1,0,1,2,2.169896,41.390642,2017-01-07 17:00:00
5712,2017-01-07 18:00:00,2017S000158    ,Eixample,Saturday,Afternoon,1,0,1,2,2.185364,41.396303,2017-01-07 18:00:00
7193,2017-01-07 19:00:00,2017S000160    ,Les Corts,Saturday,Afternoon,2,0,2,2,2.132378,41.389152,2017-01-07 19:00:00
1342,2017-01-07 21:00:00,2017S000161    ,Sant Martí,Saturday,Afternoon,1,0,1,2,2.193796,41.406675,2017-01-07 21:00:00
8946,2017-01-07 23:00:00,2017S000163    ,Nou Barris,Saturday,Night,1,0,1,2,2.18082,41.430218,2017-01-07 23:00:00
5925,2017-01-08 05:00:00,2017S000165    ,Les Corts,Sunday,Night,4,0,4,2,2.132709,41.390263,2017-01-08 05:00:00
4130,2017-01-08 06:00:00,2017S000166    ,Eixample,Sunday,Morning,1,1,2,2,2.163111,41.397455,2017-01-08 06:00:00
1799,2017-01-08 09:00:00,2017S000168    ,Eixample,Sunday,Morning,4,0,4,3,2.182427,41.40007,2017-01-08 09:00:00
7150,2017-01-08 12:00:00,2017S000169    ,Sants-Montjuïc,Sunday,Morning,2,0,2,2,2.140873,41.369155,2017-01-08 12:00:00
7010,2017-01-08 15:00:00,2017S000171    ,Eixample,Sunday,Afternoon,1,0,1,1,2.17782,41.396589,2017-01-08 15:00:00
3584,2017-01-08 16:00:00,2017S000172    ,Horta-Guinardó,Sunday,Afternoon,1,0,1,2,2.14635,41.434069,2017-01-08 16:00:00
8304,2017-01-08 19:00:00,2017S000176    ,Eixample,Sunday,Afternoon,3,0,3,2,2.179953,41.40006500000001,2017-01-08 19:00:00
368,2017-01-08 20:00:00,2017S000174    ,Eixample,Sunday,Afternoon,1,0,1,2,2.17889,41.404391,2017-01-08 20:00:00
3007,2017-01-08 21:00:00,2017S000177    ,Eixample,Sunday,Afternoon,1,0,1,2,2.170897,41.398395,2017-01-08 21:00:00
6185,2017-01-09 01:00:00,2017S000180    ,Gràcia,Monday,Night,1,0,1,2,2.165276,41.402648,2017-01-09 01:00:00
