Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Date,State Holiday
9:00 AM,45 F,37 F,76 %,NNW,12 mph,23 mph,30.2 in,1/4,0
9:30 AM,46 F,37 F,71 %,NW,14 mph,0 mph,30.2 in,1/4,0
10:00 AM,46 F,37 F,71 %,NNW,14 mph,0 mph,30.2 in,1/4,0
10:30 AM,48 F,39 F,71 %,NNW,12 mph,23 mph,30.2 in,1/4,0
11:00 AM,50 F,39 F,66 %,NNW,10 mph,0 mph,30.2 in,1/4,0
11:30 AM,50 F,39 F,66 %,NNW,10 mph,0 mph,30.2 in,1/4,0
12:00 PM,52 F,39 F,62 %,NNW,10 mph,0 mph,30.2 in,1/4,0
12:30 PM,54 F,39 F,58 %,NW,7 mph,0 mph,30.2 in,1/4,0
1:00 PM,54 F,41 F,62 %,NW,7 mph,0 mph,30.2 in,1/4,0
1:30 PM,55 F,43 F,63 %,VAR,2 mph,0 mph,30.2 in,1/4,0
2:00 PM,55 F,45 F,67 %,SW,5 mph,0 mph,30.1 in,1/4,0
2:30 PM,55 F,45 F,67 %,SW,7 mph,0 mph,30.1 in,1/4,0
3:00 PM,55 F,45 F,67 %,SSW,8 mph,0 mph,30.1 in,1/4,0
3:30 PM,55 F,45 F,67 %,SW,10 mph,0 mph,30.1 in,1/4,0
4:00 PM,55 F,45 F,67 %,SW,12 mph,0 mph,30.1 in,1/4,0
4:30 PM,55 F,41 F,58 %,SW,8 mph,0 mph,30.1 in,1/4,0
5:00 PM,55 F,41 F,58 %,NW,3 mph,0 mph,30.1 in,1/4,0
5:30 PM,52 F,37 F,58 %,W,8 mph,0 mph,30.1 in,1/4,0
6:00 PM,50 F,37 F,62 %,W,7 mph,0 mph,30.1 in,1/4,0
6:30 PM,50 F,37 F,62 %,NW,7 mph,0 mph,30.1 in,1/4,0
7:00 PM,48 F,36 F,62 %,NW,10 mph,0 mph,30.1 in,1/4,0
8:00 PM,46 F,36 F,66 %,NNW,12 mph,0 mph,30.1 in,1/4,0
8:30 PM,46 F,34 F,62 %,NNW,12 mph,29 mph,30.1 in,1/4,0
9:00 PM,46 F,34 F,62 %,NNW,13 mph,0 mph,30.1 in,1/4,0
