Datetime,Id,District Name,Weekday,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude,Datetime
2017-08-02 11:00:00,2017S006732    ,Sant Martí,Wednesday,Morning,1,0,1,2,2.211398,41.421881,2017-08-02 11:00:00
2017-05-03 11:00:00,2017S003914    ,Sant Martí,Wednesday,Morning,4,0,4,2,2.221726,41.410514,2017-05-03 11:00:00
2017-02-15 01:00:00,2017S001257    ,Sant Martí,Wednesday,Night,1,0,1,2,2.2049090000000002,41.422204,2017-02-15 01:00:00
2017-12-16 18:00:00,2017S010414    ,Sant Martí,Saturday,Afternoon,1,0,1,2,2.22051,41.412138,2017-12-16 18:00:00
2017-04-03 19:00:00,2017S003078    ,Sant Martí,Monday,Afternoon,0,0,0,1,2.216609,41.413737,2017-04-03 19:00:00
2017-12-27 16:00:00,2017S010707    ,Sant Martí,Wednesday,Afternoon,2,0,2,2,2.2003630000000003,41.418811,2017-12-27 16:00:00
2017-10-31 19:00:00,2017S009012    ,Sant Martí,Tuesday,Afternoon,1,0,1,2,2.202633,41.418803000000004,2017-10-31 19:00:00
2017-07-10 15:00:00,2017S005997    ,Sant Martí,Monday,Afternoon,2,0,2,1,2.201852,41.419652,2017-07-10 15:00:00
2017-06-13 14:00:00,2017S005176    ,Sant Martí,Tuesday,Afternoon,1,0,1,3,2.201282,41.426638,2017-06-13 14:00:00
2017-01-05 17:00:00,2017S000123    ,Sant Martí,Thursday,Afternoon,2,0,2,2,2.20173,41.427479999999996,2017-01-05 17:00:00
2017-06-09 17:00:00,2017S005072    ,Sant Martí,Friday,Afternoon,1,0,1,2,2.2005529999999998,41.426415999999996,2017-06-09 17:00:00
2017-08-23 20:00:00,2017S007144    ,Sant Martí,Wednesday,Afternoon,1,0,1,1,2.2024,41.420066,2017-08-23 20:00:00
2017-02-03 20:00:00,2017S000944    ,Sant Martí,Friday,Afternoon,1,0,1,1,2.2043220000000003,41.417325,2017-02-03 20:00:00
2017-01-23 18:00:00,2017S000612    ,Sant Martí,Monday,Afternoon,1,0,1,3,2.198959,41.423403,2017-01-23 18:00:00
2017-03-26 06:00:00,2017S002424    ,Sant Martí,Sunday,Morning,1,0,1,1,2.198539,41.42411,2017-03-26 06:00:00
2017-10-26 21:00:00,2017S008874    ,Sant Martí,Thursday,Afternoon,1,0,1,2,2.2039619999999998,41.407568,2017-10-26 21:00:00
2017-04-07 18:00:00,2017S003235    ,Sant Martí,Friday,Afternoon,0,0,0,2,2.21694,41.412696999999994,2017-04-07 18:00:00
2017-08-11 15:00:00,2017S006914    ,Sant Martí,Friday,Afternoon,1,0,1,2,2.216424,41.413489,2017-08-11 15:00:00
2017-02-10 10:00:00,2017S001120    ,Sant Martí,Friday,Morning,2,0,2,2,2.20713,41.414859,2017-02-10 10:00:00
2017-06-02 06:00:00,2017S004843    ,Sant Martí,Friday,Morning,1,0,1,1,2.216113,41.411226,2017-06-02 06:00:00
2017-03-15 08:00:00,2017S002075    ,Sant Martí,Wednesday,Morning,2,0,2,1,2.20736,41.410118,2017-03-15 08:00:00
2017-10-26 08:00:00,2017S008856    ,Sant Martí,Thursday,Morning,1,0,1,1,2.2039619999999998,41.407568,2017-10-26 08:00:00
2017-05-12 00:00:00,2017S004209    ,Sant Martí,Friday,Night,2,0,2,2,2.209648,41.416875,2017-05-12 00:00:00
2017-10-18 09:00:00,2017S008566    ,Sant Martí,Wednesday,Morning,3,0,3,2,2.199459,41.397299,2017-10-18 09:00:00
2017-03-12 04:00:00,2017S002006    ,Sant Martí,Sunday,Night,1,0,1,1,2.2087060000000003,41.397420000000004,2017-03-12 04:00:00
2017-06-06 09:00:00,2017S004941    ,Sant Martí,Tuesday,Morning,1,0,1,2,2.19633,41.396815000000004,2017-06-06 09:00:00
2017-03-23 19:00:00,2017S002347    ,Sant Martí,Thursday,Afternoon,1,0,1,2,2.198332,41.398139,2017-03-23 19:00:00
2017-12-03 13:00:00,2017S010097    ,Sant Martí,Sunday,Morning,1,0,1,2,2.200803,41.394523,2017-12-03 13:00:00
2017-01-05 19:00:00,2017S000122    ,Sant Martí,Thursday,Afternoon,0,0,0,1,2.208398,41.419569,2017-01-05 19:00:00
2017-04-27 10:00:00,2017S003738    ,Sant Martí,Thursday,Morning,1,0,1,2,2.2018560000000003,41.407389,2017-04-27 10:00:00
2017-09-09 15:00:00,2017S007503    ,Sant Martí,Saturday,Afternoon,2,0,2,2,2.198342,41.410089,2017-09-09 15:00:00
2017-02-08 17:00:00,2017S001061    ,Sant Martí,Wednesday,Afternoon,0,0,0,3,2.205805,41.417384000000006,2017-02-08 17:00:00
2017-09-24 09:00:00,2017S007904    ,Sant Martí,Sunday,Morning,1,0,1,4,2.1981900000000003,41.411891,2017-09-24 09:00:00
2017-12-02 13:00:00,2017S010082    ,Sant Martí,Saturday,Morning,0,0,0,1,2.197063,41.411044,2017-12-02 13:00:00
2017-05-28 08:00:00,2017S004702    ,Sant Martí,Sunday,Morning,2,0,2,2,2.19735,41.411031,2017-05-28 08:00:00
2017-10-29 17:00:00,2017S008946    ,Sant Martí,Sunday,Afternoon,1,0,1,1,2.201731,41.409239,2017-10-29 17:00:00
2017-08-01 21:00:00,2017S006672    ,Sant Martí,Tuesday,Afternoon,1,0,1,2,2.193034,41.407835,2017-08-01 21:00:00
2017-07-05 16:00:00,2017S005878    ,Sant Martí,Wednesday,Afternoon,0,0,0,2,2.201634,41.414446999999996,2017-07-05 16:00:00
2017-11-21 22:00:00,2017S009684    ,Sant Martí,Tuesday,Night,1,0,1,2,2.206224,41.416095,2017-11-21 22:00:00
2017-02-10 09:00:00,2017S001113    ,Sant Martí,Friday,Morning,1,0,1,1,2.194859,41.409289,2017-02-10 09:00:00
